epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1620.84,1.37827,1.39575,1.72107,0.60427,0.7551,0.729,0.4017,1.50188,1.21866,1.85745,0.0005182,0.0005182,0.0005182
75,1642.65,1.38347,1.41552,1.74165,0.61907,0.62912,0.74108,0.38074,1.58535,1.41344,1.86917,0.0005116,0.0005116,0.0005116
76,1664.68,1.37551,1.40476,1.748,0.59397,0.83155,0.79383,0.42851,1.47273,1.20324,1.79825,0.000505,0.000505,0.000505
77,1686.73,1.36843,1.38661,1.73296,0.53073,0.82061,0.74848,0.41991,1.55269,1.24058,1.85206,0.0004984,0.0004984,0.0004984
78,1709.15,1.37504,1.39609,1.74511,0.71119,0.67409,0.73015,0.39026,1.55462,1.19849,1.88749,0.0004918,0.0004918,0.0004918
79,1731.44,1.3652,1.37479,1.73605,0.59117,0.83298,0.74461,0.41859,1.44284,1.20404,1.78932,0.0004852,0.0004852,0.0004852
80,1753.76,1.36039,1.38031,1.73577,0.59243,0.74886,0.7554,0.43984,1.49957,1.22392,1.85834,0.0004786,0.0004786,0.0004786
81,1775.7,1.35832,1.38221,1.73111,0.59478,0.81608,0.78787,0.47324,1.42394,1.17287,1.76361,0.000472,0.000472,0.000472
82,1798,1.35095,1.36873,1.72619,0.68196,0.80217,0.81843,0.46732,1.46997,1.13734,1.78912,0.0004654,0.0004654,0.0004654
83,1820.31,1.36431,1.3639,1.72708,0.69957,0.79216,0.81082,0.45372,1.45374,1.19588,1.77361,0.0004588,0.0004588,0.0004588
84,1842.27,1.35499,1.35444,1.7223,0.76401,0.80045,0.83193,0.48482,1.41506,1.12013,1.7259,0.0004522,0.0004522,0.0004522
85,1863.87,1.34641,1.33346,1.72085,0.59359,0.6723,0.71674,0.37584,1.681,1.28727,1.96115,0.0004456,0.0004456,0.0004456
86,1886.03,1.34533,1.33597,1.71037,0.61644,0.72831,0.77225,0.44103,1.49347,1.2021,1.81579,0.000439,0.000439,0.000439
87,1907.95,1.3557,1.35542,1.71826,0.62847,0.79261,0.74111,0.4098,1.55536,1.15678,1.85903,0.0004324,0.0004324,0.0004324
88,1929.9,1.34113,1.34823,1.71062,0.64217,0.79563,0.78583,0.45044,1.42379,1.09558,1.72675,0.0004258,0.0004258,0.0004258
89,1951.43,1.33741,1.35041,1.71575,0.86899,0.65195,0.76552,0.43254,1.4791,1.13532,1.80412,0.0004192,0.0004192,0.0004192
90,1973.33,1.33897,1.33179,1.7028,0.8107,0.70501,0.8093,0.43267,1.58485,1.22703,1.87379,0.0004126,0.0004126,0.0004126
91,1995.41,1.32098,1.35122,1.69467,0.71247,0.77217,0.80709,0.45678,1.43676,1.1418,1.76089,0.000406,0.000406,0.000406
92,2017.45,1.32807,1.31655,1.68741,0.6676,0.82851,0.82071,0.46725,1.49278,1.12871,1.81966,0.0003994,0.0003994,0.0003994
93,2039.66,1.31197,1.30676,1.68539,0.78146,0.71546,0.80396,0.44555,1.43755,1.15884,1.78892,0.0003928,0.0003928,0.0003928
94,2061.5,1.33173,1.32955,1.70416,0.66206,0.79906,0.81571,0.46961,1.4478,1.18856,1.76098,0.0003862,0.0003862,0.0003862
95,2083.47,1.3202,1.31864,1.68838,0.73185,0.75251,0.77984,0.42193,1.54183,1.15796,1.85407,0.0003796,0.0003796,0.0003796
96,2105.23,1.32293,1.28604,1.69025,0.77067,0.65586,0.752,0.43192,1.43809,1.21986,1.73723,0.000373,0.000373,0.000373
97,2126.69,1.32937,1.2916,1.69324,0.65854,0.681,0.77725,0.42397,1.45271,1.16862,1.77217,0.0003664,0.0003664,0.0003664
98,2148.47,1.3089,1.30271,1.6812,0.60712,0.79527,0.796,0.44029,1.49979,1.18945,1.7887,0.0003598,0.0003598,0.0003598
99,2170.29,1.3155,1.29576,1.68921,0.64292,0.72601,0.77137,0.4485,1.44858,1.11913,1.80247,0.0003532,0.0003532,0.0003532
100,2191.85,1.31793,1.2962,1.68142,0.64563,0.85615,0.7962,0.43551,1.4575,1.14843,1.77372,0.0003466,0.0003466,0.0003466
101,2213.81,1.30944,1.28387,1.68324,0.73841,0.69354,0.76698,0.42598,1.50255,1.14959,1.85564,0.00034,0.00034,0.00034
102,2235.86,1.30943,1.28305,1.67889,0.60747,0.78965,0.77871,0.46141,1.44685,1.14485,1.80884,0.0003334,0.0003334,0.0003334
103,2258.23,1.3126,1.28118,1.68418,0.55932,0.78766,0.79499,0.4833,1.40469,1.075,1.76545,0.0003268,0.0003268,0.0003268
104,2281.28,1.30074,1.27067,1.67345,0.67045,0.74855,0.83203,0.45423,1.423,1.13501,1.75339,0.0003202,0.0003202,0.0003202
105,2304.56,1.30182,1.28527,1.67798,0.6009,0.7897,0.77584,0.44751,1.37861,1.15969,1.7149,0.0003136,0.0003136,0.0003136
106,2327.8,1.30863,1.28782,1.69302,0.61499,0.78731,0.7867,0.43679,1.43075,1.18474,1.74701,0.000307,0.000307,0.000307
107,2351.12,1.29741,1.25987,1.67342,0.57819,0.83803,0.74772,0.43401,1.45202,1.11383,1.80017,0.0003004,0.0003004,0.0003004
108,2374.31,1.29561,1.2656,1.67786,0.56657,0.78536,0.75018,0.44265,1.44295,1.15724,1.76988,0.0002938,0.0002938,0.0002938
109,2397.47,1.28947,1.25316,1.67194,0.68928,0.80441,0.77552,0.41358,1.54345,1.18469,1.85076,0.0002872,0.0002872,0.0002872
110,2420.12,1.27772,1.2413,1.67055,0.7695,0.77287,0.8336,0.47585,1.45706,1.12608,1.81418,0.0002806,0.0002806,0.0002806
111,2442.57,1.28188,1.23461,1.64951,0.64771,0.81188,0.81421,0.46428,1.3875,1.09571,1.76102,0.000274,0.000274,0.000274
112,2465.13,1.28811,1.25239,1.66664,0.60178,0.80916,0.76759,0.44284,1.48975,1.11439,1.83429,0.0002674,0.0002674,0.0002674
113,2487.69,1.2846,1.24965,1.66686,0.77892,0.71778,0.80013,0.4748,1.38196,1.11125,1.72216,0.0002608,0.0002608,0.0002608
114,2510.14,1.27534,1.24995,1.65033,0.71894,0.6864,0.7885,0.45019,1.43529,1.17797,1.75992,0.0002542,0.0002542,0.0002542
115,2532.63,1.28217,1.24314,1.66945,0.69598,0.74014,0.79875,0.46844,1.38213,1.10835,1.74677,0.0002476,0.0002476,0.0002476
116,2555.15,1.25889,1.24495,1.64358,0.75416,0.67037,0.8103,0.44212,1.40208,1.16026,1.74181,0.000241,0.000241,0.000241
117,2577.7,1.26203,1.21095,1.64257,0.65525,0.81959,0.80223,0.45571,1.40641,1.09047,1.77163,0.0002344,0.0002344,0.0002344
118,2600.33,1.26554,1.21714,1.65125,0.72253,0.70138,0.79733,0.44406,1.42916,1.12309,1.77219,0.0002278,0.0002278,0.0002278
119,2623.96,1.26698,1.21621,1.6473,0.67112,0.69549,0.7513,0.4459,1.47274,1.11305,1.80534,0.0002212,0.0002212,0.0002212
120,2646.47,1.25557,1.2155,1.64192,0.60892,0.81726,0.78126,0.44169,1.46313,1.15192,1.80146,0.0002146,0.0002146,0.0002146
121,2668.97,1.27029,1.20595,1.65389,0.68679,0.70037,0.77342,0.43445,1.49631,1.1734,1.8189,0.000208,0.000208,0.000208
122,2691.49,1.26158,1.21935,1.65237,0.62339,0.75086,0.77153,0.44354,1.44428,1.17083,1.75684,0.0002014,0.0002014,0.0002014
123,2713.98,1.26547,1.2187,1.64833,0.70413,0.74393,0.77674,0.45206,1.37221,1.13484,1.73709,0.0001948,0.0001948,0.0001948
124,2736.38,1.27402,1.21861,1.66346,0.68423,0.77805,0.80795,0.45429,1.42195,1.11477,1.76854,0.0001882,0.0001882,0.0001882
125,2759.08,1.25629,1.2123,1.64732,0.67786,0.76183,0.81763,0.45604,1.44466,1.11511,1.77775,0.0001816,0.0001816,0.0001816
126,2781.82,1.24172,1.19383,1.63306,0.65239,0.76495,0.79055,0.46117,1.36775,1.10344,1.72027,0.000175,0.000175,0.000175
127,2804.38,1.24453,1.19843,1.63231,0.85119,0.68516,0.79414,0.42185,1.50771,1.15054,1.84752,0.0001684,0.0001684,0.0001684
128,2827.04,1.23726,1.20287,1.63373,0.63153,0.81777,0.77455,0.44115,1.40823,1.15787,1.73646,0.0001618,0.0001618,0.0001618
129,2849.34,1.24598,1.19384,1.62387,0.62743,0.79648,0.80048,0.45982,1.44068,1.1287,1.77389,0.0001552,0.0001552,0.0001552
130,2871.81,1.23035,1.18258,1.62129,0.65835,0.76623,0.78319,0.44613,1.42012,1.15078,1.74874,0.0001486,0.0001486,0.0001486
131,2894.33,1.24298,1.18354,1.62239,0.61505,0.8119,0.78527,0.45726,1.42539,1.10643,1.77447,0.000142,0.000142,0.000142
132,2916.88,1.25019,1.18662,1.63851,0.62798,0.83555,0.80026,0.46213,1.39972,1.09744,1.74023,0.0001354,0.0001354,0.0001354
133,2939.4,1.2383,1.18173,1.63185,0.68728,0.79915,0.80456,0.46621,1.41643,1.12228,1.743,0.0001288,0.0001288,0.0001288
134,2961.91,1.24539,1.17862,1.6318,0.65023,0.80952,0.79031,0.45941,1.44651,1.11944,1.77608,0.0001222,0.0001222,0.0001222
