epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1949.37,1.3461,1.33446,1.70372,0.59389,0.80397,0.76558,0.43261,1.52469,1.16809,1.82013,0.000439,0.000439,0.000439
87,1971.99,1.35815,1.34994,1.72371,0.56743,0.82628,0.77766,0.43985,1.54228,1.12082,1.87361,0.0004324,0.0004324,0.0004324
88,1994.55,1.34165,1.35252,1.70313,0.68142,0.73623,0.76828,0.45307,1.50833,1.14064,1.85525,0.0004258,0.0004258,0.0004258
89,2017.19,1.35434,1.35833,1.7187,0.61826,0.77476,0.73448,0.44568,1.50694,1.15187,1.86032,0.0004192,0.0004192,0.0004192
90,2039.75,1.33738,1.32794,1.69815,0.64787,0.81873,0.7859,0.47626,1.44933,1.14758,1.78205,0.0004126,0.0004126,0.0004126
91,2062.28,1.32288,1.32842,1.68253,0.57748,0.79803,0.77169,0.4413,1.46137,1.13079,1.80411,0.000406,0.000406,0.000406
92,2085.12,1.33104,1.31384,1.68454,0.73593,0.73824,0.78419,0.45746,1.47616,1.13011,1.82585,0.0003994,0.0003994,0.0003994
93,2107.64,1.32817,1.30868,1.69357,0.63198,0.75481,0.75789,0.44911,1.49356,1.17471,1.83635,0.0003928,0.0003928,0.0003928
94,2130.19,1.32978,1.33151,1.69985,0.69491,0.73862,0.7871,0.45728,1.42012,1.15168,1.76185,0.0003862,0.0003862,0.0003862
95,2153.03,1.31637,1.3193,1.68406,0.73027,0.75273,0.77255,0.43482,1.4879,1.13034,1.78007,0.0003796,0.0003796,0.0003796
96,2175.86,1.32481,1.29471,1.68498,0.61567,0.78313,0.76265,0.44807,1.46079,1.18456,1.7876,0.000373,0.000373,0.000373
97,2198.85,1.33952,1.30209,1.69438,0.8454,0.64815,0.75468,0.42731,1.4774,1.17401,1.80337,0.0003664,0.0003664,0.0003664
98,2221.7,1.31921,1.29299,1.68291,0.54844,0.78358,0.73853,0.42543,1.51676,1.19299,1.84786,0.0003598,0.0003598,0.0003598
